"fips","admin2","province_state","country_region","last_update","lat","long","confirmed","deaths","recovered","active","combined_key","incident_rate","case_fatality_ratio"
NA,"","","Afghanistan","2021-01-07 05:22:03",33.93911,67.709953,53105,2244,42666,8195,"Afghanistan",136.417321251887,4.22559081065813
NA,"","","Albania","2021-01-07 05:22:03",41.1533,20.1683,61008,1217,36102,23689,"Albania",2119.95274167767,1.99482035142932
NA,"","","Algeria","2021-01-07 05:22:03",28.0339,1.6596,101120,2786,68383,29951,"Algeria",230.598848013718,2.75514240506329
NA,"","","Andorra","2021-01-07 05:22:03",42.5063,1.5218,8348,84,7615,649,"Andorra",10804.3745551026,1.00622903689506
NA,"","","Angola","2021-01-07 05:22:03",-11.2027,17.8739,17864,413,11477,5974,"Angola",54.3536004757218,2.31191222570533
NA,"","","Antigua and Barbuda","2021-01-07 05:22:03",17.0608,-61.7964,163,5,149,9,"Antigua and Barbuda",166.448819540887,3.06748466257669
NA,"","","Argentina","2021-01-07 05:22:03",-38.4161,-63.6167,1676171,43976,1474048,158147,"Argentina",3708.68942025269,2.62359866624587
NA,"","","Armenia","2021-01-07 05:22:03",40.0691,45.0382,160853,2890,146576,11387,"Armenia",5428.29219697128,1.79667149509179
NA,"","Australian Capital Territory","Australia","2021-01-07 05:22:03",-35.4735,149.0124,118,3,115,0,"Australian Capital Territory, Australia",27.5636533520206,2.54237288135593
NA,"","New South Wales","Australia","2021-01-07 05:22:03",-33.8688,151.2093,4984,54,3210,1720,"New South Wales, Australia",61.3944321261394,1.08346709470305
NA,"","Northern Territory","Australia","2021-01-07 05:22:03",-12.4634,130.8456,87,0,71,16,"Northern Territory, Australia",35.4234527687296,0
NA,"","Queensland","Australia","2021-01-07 05:22:03",-27.4698,153.0251,1265,6,1234,25,"Queensland, Australia",24.7287655165673,0.474308300395257
NA,"","South Australia","Australia","2021-01-07 05:22:03",-34.9285,138.6007,582,4,568,10,"South Australia, Australia",33.134073441503,0.687285223367698
NA,"","Tasmania","Australia","2021-01-07 05:22:03",-42.8821,147.3272,234,13,221,0,"Tasmania, Australia",43.6974789915966,5.55555555555556
NA,"","Victoria","Australia","2021-01-07 05:22:03",-37.8136,144.9631,20402,820,19544,38,"Victoria, Australia",307.727115039442,4.01921380256838
NA,"","Western Australia","Australia","2021-01-07 05:22:03",-31.9505,115.8605,874,9,847,18,"Western Australia, Australia",33.2243594617198,1.02974828375286
NA,"","","Austria","2021-01-07 05:22:03",47.5162,14.5501,372190,6525,344974,20691,"Austria",4132.50577367206,1.75313683871141
NA,"","","Azerbaijan","2021-01-07 05:22:03",40.1431,47.5769,222200,2818,201596,17786,"Azerbaijan",2191.49980151245,1.26822682268227
NA,"","","Bahamas","2021-01-07 05:22:03",25.025885,-78.035889,7945,175,6277,1493,"Bahamas",2020.35356823175,2.20264317180617
NA,"","","Bahrain","2021-01-07 05:22:03",26.0275,50.55,94284,353,91431,2500,"Bahrain",5540.95803730996,0.374400746680243
NA,"","","Bangladesh","2021-01-07 05:22:03",23.685,90.3563,518898,7687,463480,47731,"Bangladesh",315.076776989322,1.48140867762065
NA,"","","Barbados","2021-01-07 05:22:03",13.1939,-59.5432,743,7,327,409,"Barbados",258.550793225482,0.942126514131898
NA,"","","Belarus","2021-01-07 05:22:03",53.7098,27.9534,204958,1480,186394,17084,"Belarus",2169.02357322817,0.722099161779487
NA,"","Antwerp","Belgium","2021-01-07 05:22:03",51.2195,4.4024,80872,0,0,80872,"Antwerp, Belgium",4352.67004164725,0
