"fips","admin2","province_state","country_region","last_update","lat","long","confirmed","deaths","recovered","active","combined_key","incident_rate","case_fatality_ratio"
NA,"","","Argentina","2021-01-07 05:22:03",-38.4161,-63.6167,1676171,43976,1474048,158147,"Argentina",3708.68942025269,2.62359866624587
NA,"","","Bahamas","2021-01-07 05:22:03",25.025885,-78.035889,7945,175,6277,1493,"Bahamas",2020.35356823175,2.20264317180617
NA,"","","Belize","2021-01-07 05:22:03",17.1899,-88.4976,11108,260,10312,536,"Belize",2793.61502536335,2.34065538350738
NA,"","","Bolivia","2021-01-07 05:22:03",-16.2902,-63.5887,166981,9287,135186,22508,"Bolivia",1430.4856091765,5.56171061378241
NA,"","Acre","Brazil","2021-01-07 05:22:03",-9.0238,-70.812,42378,814,37712,3852,"Acre, Brazil",4805.1160232897,1.92080796639766
NA,"","Alagoas","Brazil","2021-01-07 05:22:03",-9.5713,-36.782,106881,2529,101553,2799,"Alagoas, Brazil",3202.56418477256,2.36618295113257
NA,"","Amapa","Brazil","2021-01-07 05:22:03",0.902,-52.003,69469,950,53600,14919,"Amapa, Brazil",8214.07752583268,1.36751644618463
NA,"","Amazonas","Brazil","2021-01-07 05:22:03",-3.4168,-65.8561,207092,5500,172626,28966,"Amazonas, Brazil",4996.67398301934,2.65582446448921
NA,"","Bahia","Brazil","2021-01-07 05:22:03",-12.5797,-41.7007,502938,9304,488294,5340,"Bahia, Brazil",3381.53590948039,1.84992981242221
NA,"","Ceara","Brazil","2021-01-07 05:22:03",-5.4984,-39.3206,340089,10056,273050,56983,"Ceara, Brazil",3724.11405158826,2.95687305381827
NA,"","Distrito Federal","Brazil","2021-01-07 05:22:03",-15.7998,-47.8645,255875,4328,245256,6291,"Distrito Federal, Brazil",8485.97869244127,1.6914509037616
NA,"","Espirito Santo","Brazil","2021-01-07 05:22:03",-19.1834,-40.3089,255907,5206,236126,14575,"Espirito Santo, Brazil",6367.98427332562,2.03433278495703
NA,"","Goias","Brazil","2021-01-07 05:22:03",-15.827,-49.8362,313439,6901,302566,3972,"Goias, Brazil",4465.99017376439,2.20170431886268
NA,"","Maranhao","Brazil","2021-01-07 05:22:03",-4.9609,-45.2744,201454,4537,191089,5828,"Maranhao, Brazil",2847.33351697999,2.25212703644504
NA,"","Mato Grosso","Brazil","2021-01-07 05:22:03",-12.6819,-56.9211,184232,4546,174814,4872,"Mato Grosso, Brazil",5287.23770012392,2.46754092665769
NA,"","Mato Grosso do Sul","Brazil","2021-01-07 05:22:03",-20.7722,-54.7852,139152,2459,123361,13332,"Mato Grosso do Sul, Brazil",5007.29402738985,1.7671323444866
NA,"","Minas Gerais","Brazil","2021-01-07 05:22:03",-18.5122,-44.555,566207,12211,509638,44358,"Minas Gerais, Brazil",2674.72525946333,2.15663176188214
NA,"","Para","Brazil","2021-01-07 05:22:03",-1.9981,-54.9306,296752,7247,279527,9978,"Para, Brazil",3449.45550116153,2.44210654014126
NA,"","Paraiba","Brazil","2021-01-07 05:22:03",-7.24,-36.782,169646,3755,128558,37333,"Paraiba, Brazil",4222.0168750266,2.21343267745777
