"fips","admin2","province_state","country_region","last_update","lat","long","confirmed","deaths","recovered","active","combined_key","incident_rate","case_fatality_ratio"
NA,"","","Afghanistan","2021-01-12 05:22:15",33.93911,67.709953,53538,2288,44137,7113,"Afghanistan",137.529621413869,4.27360005977063
NA,"","","Albania","2021-01-12 05:22:15",41.1533,20.1683,63971,1247,37981,24743,"Albania",2222.91333657655,1.94932078598115
NA,"","","Algeria","2021-01-12 05:22:15",28.0339,1.6596,102369,2812,69403,30154,"Algeria",233.447126901862,2.74692533872559
NA,"","","Andorra","2021-01-12 05:22:15",42.5063,1.5218,8586,85,7724,777,"Andorra",11112.4053581829,0.98998369438621
NA,"","","Angola","2021-01-12 05:22:15",-11.2027,17.8739,18254,420,14825,3009,"Angola",55.5402274453552,2.30086556371206
NA,"","","Antigua and Barbuda","2021-01-12 05:22:15",17.0608,-61.7964,176,5,152,19,"Antigua and Barbuda",179.723878768074,2.84090909090909
NA,"","","Argentina","2021-01-12 05:22:15",-38.4161,-63.6167,1730921,44654,1518715,167552,"Argentina",3829.82905681653,2.57978267061293
NA,"","","Armenia","2021-01-12 05:22:15",40.0691,45.0382,162288,2931,149873,9484,"Armenia",5476.71901712791,1.80604850635907
NA,"","Australian Capital Territory","Australia","2021-01-12 05:22:15",-35.4735,149.0124,118,3,115,0,"Australian Capital Territory, Australia",27.5636533520206,2.54237288135593
NA,"","New South Wales","Australia","2021-01-12 05:22:15",-33.8688,151.2093,5034,54,3216,1764,"New South Wales, Australia",62.010347376201,1.07270560190703
NA,"","Northern Territory","Australia","2021-01-12 05:22:15",-12.4634,130.8456,90,0,71,19,"Northern Territory, Australia",36.6449511400652,0
NA,"","Queensland","Australia","2021-01-12 05:22:15",-27.4698,153.0251,1281,6,1243,32,"Queensland, Australia",25.0415404163816,0.468384074941452
NA,"","South Australia","Australia","2021-01-12 05:22:15",-34.9285,138.6007,588,4,569,15,"South Australia, Australia",33.4756618274979,0.680272108843537
NA,"","Tasmania","Australia","2021-01-12 05:22:15",-42.8821,147.3272,234,13,221,0,"Tasmania, Australia",43.6974789915966,5.55555555555556
NA,"","Victoria","Australia","2021-01-12 05:22:15",-37.8136,144.9631,20411,820,19553,38,"Victoria, Australia",307.862863693268,4.01744157562099
