"ddg.type","ddg.num","ddg.name","ddg.value","ddg.return.linked","ddg.time","ddg.snum","ddg.startLine","ddg.startCol","ddg.endLine","ddg.endCol"
"Start",1,"Console","Console",FALSE,0.706,1,NA,NA,NA,NA
"Operation",2,"library(modleR)","library(modleR)",FALSE,1.816,1,1,1,1,15
"Operation",3,"library(sp)","library(sp)",FALSE,0.0790000000000006,1,2,1,2,11
"Operation",4,"species <- names(example_occs)","species <- names(example_occs)",FALSE,0.0969999999999995,1,3,1,3,30
"Operation",5,"occs <- example_occs[[1]]","occs <- example_occs[[1]]",FALSE,0.0529999999999999,1,4,1,4,25
"Operation",6,"test_folder <- ""~/Dropbox/Reproducibility/prov2repr/prov_sam","test_folder <- ""~/Dropbox/Reproducibility/prov2repr/prov_sam",FALSE,0.17,1,5,1,5,80
"Operation",7,"sdmdata_1sp <- modleR::setup_sdmdata(species_name = species[","sdmdata_1sp <- modleR::setup_sdmdata(species_name = species[",FALSE,4.25,1,6,1,11,67
"Operation",8,"many <- modleR::do_many(species_name = species[1], predictor","many <- modleR::do_many(species_name = species[1], predictor",FALSE,20.379,1,12,1,16,32
"Operation",9,"fm <- modleR::final_model(species_name = species[1], algorit","fm <- modleR::final_model(species_name = species[1], algorit",FALSE,14.134,1,17,1,20,36
"Operation",10,"ens <- modleR::ensemble_model(species_name = species[1], occ","ens <- modleR::ensemble_model(species_name = species[1], occ",FALSE,9.55,1,21,1,25,65
"Finish",11,"Console","Console",FALSE,0.756999999999998,1,NA,NA,NA,NA
